Country/Region,Update Date,Deaths,Recovered,Latitude,Longitude,Province/State
Mainland China,1/22/2020,0,0,0,,Anhui
Mainland China,1/22/2020,0,0,0,,Beijing
Mainland China,1/22/2020,0,0,0,,Chongqing
Mainland China,1/22/2020,0,0,0,,Fujian
Mainland China,1/22/2020,0,0,0,,Gansu
Mainland China,1/22/2020,0,0,0,,Guangdong
Mainland China,1/22/2020,0,0,0,,Guangxi
Mainland China,1/22/2020,0,0,0,,Guizhou
Mainland China,1/22/2020,0,0,0,,Hainan
Mainland China,1/22/2020,0,0,0,,Hebei
Mainland China,1/22/2020,0,0,0,,Heilongjiang
Mainland China,1/22/2020,0,0,0,,Henan
Hong Kong,1/22/2020,0,0,0,,Hong Kong
Mainland China,1/22/2020,0,0,0,,Hubei
Mainland China,1/22/2020,0,0,0,,Hunan
Mainland China,1/22/2020,0,0,0,,Inner Mongolia
Mainland China,1/22/2020,0,0,0,,Jiangsu
Mainland China,1/22/2020,0,0,0,,Jiangxi
Mainland China,1/22/2020,0,0,0,,Jilin
Mainland China,1/22/2020,0,0,0,,Liaoning
Macau,1/22/2020,0,0,0,,Macau
Mainland China,1/22/2020,0,0,0,,Ningxia
Mainland China,1/22/2020,0,0,0,,Qinghai
Mainland China,1/22/2020,0,0,0,,Shaanxi
Mainland China,1/22/2020,0,0,0,,Shandong
Mainland China,1/22/2020,0,0,0,,Shanghai
Mainland China,1/22/2020,0,0,0,,Shanxi
Mainland China,1/22/2020,0,0,0,,Sichuan
Taiwan,1/22/2020,0,0,0,,Taiwan
Mainland China,1/22/2020,0,0,0,,Tianjin
Mainland China,1/22/2020,0,0,0,,Tibet
US,1/22/2020,0,0,0,,Washington
Mainland China,1/22/2020,0,0,0,,Xinjiang
Mainland China,1/22/2020,0,0,0,,Yunnan
Mainland China,1/22/2020,0,0,0,,Zhejiang
Japan,1/22/2020,0,0,0,,
Thailand,1/22/2020,0,0,0,,
South Korea,1/22/2020,0,0,0,,
Mainland China,1/23/2020,0,0,0,,Anhui
Mainland China,1/23/2020,0,0,0,,Beijing
Mainland China,1/23/2020,0,0,0,,Chongqing
Mainland China,1/23/2020,0,0,0,,Fujian
Mainland China,1/23/2020,0,0,0,,Gansu
Mainland China,1/23/2020,0,0,0,,Guangdong
Mainland China,1/23/2020,0,0,0,,Guangxi
Mainland China,1/23/2020,0,0,0,,Guizhou
Mainland China,1/23/2020,0,0,0,,Hainan
Mainland China,1/23/2020,0,0,0,,Hebei
Mainland China,1/23/2020,0,0,0,,Heilongjiang
Mainland China,1/23/2020,0,0,0,,Henan
Hong Kong,1/23/2020,0,0,0,,Hong Kong
Mainland China,1/23/2020,0,0,0,,Hubei
Mainland China,1/23/2020,0,0,0,,Hunan
Mainland China,1/23/2020,0,0,0,,Inner Mongolia
Mainland China,1/23/2020,0,0,0,,Jiangsu
Mainland China,1/23/2020,0,0,0,,Jiangxi
Mainland China,1/23/2020,0,0,0,,Jilin
Mainland China,1/23/2020,0,0,0,,Liaoning
Macau,1/23/2020,0,0,0,,Macau
Mainland China,1/23/2020,0,0,0,,Ningxia
Mainland China,1/23/2020,0,0,0,,Qinghai
Mainland China,1/23/2020,0,0,0,,Shaanxi
Mainland China,1/23/2020,0,0,0,,Shandong
Mainland China,1/23/2020,0,0,0,,Shanghai
Mainland China,1/23/2020,0,0,0,,Shanxi
Mainland China,1/23/2020,0,0,0,,Sichuan
Taiwan,1/23/2020,0,0,0,,Taiwan
Mainland China,1/23/2020,0,0,0,,Tianjin
Mainland China,1/23/2020,0,0,0,,Tibet
US,1/23/2020,0,0,0,,Washington
Mainland China,1/23/2020,0,0,0,,Xinjiang
Mainland China,1/23/2020,0,0,0,,Yunnan
Mainland China,1/23/2020,0,0,0,,Zhejiang
Japan,1/23/2020,0,0,0,,
Thailand,1/23/2020,0,0,0,,
South Korea,1/23/2020,0,0,0,,
Singapore,1/23/2020,0,0,0,,
Philippines,1/23/2020,0,0,0,,
Malaysia,1/23/2020,0,0,0,,
Vietnam,1/23/2020,0,0,0,,
Australia,1/23/2020,0,0,0,,
Mexico,1/23/2020,0,0,0,,
Brazil,1/23/2020,0,0,0,,
Colombia,1/23/2020,0,0,0,,
Mainland China,1/24/2020,0,0,0,,Hubei
Mainland China,1/24/2020,0,0,0,,Guangdong
Mainland China,1/24/2020,0,0,0,,Zhejiang
Mainland China,1/24/2020,0,0,0,,Beijing
Mainland China,1/24/2020,0,0,0,,Chongqing
Mainland China,1/24/2020,0,0,0,,Hunan
Mainland China,1/24/2020,0,0,0,,Guangxi
Mainland China,1/24/2020,0,0,0,,Shanghai
Mainland China,1/24/2020,0,0,0,,Jiangxi
Mainland China,1/24/2020,0,0,0,,Sichuan
Mainland China,1/24/2020,0,0,0,,Shandong
Mainland China,1/24/2020,0,0,0,,Anhui
Mainland China,1/24/2020,0,0,0,,Fujian
Mainland China,1/24/2020,0,0,0,,Henan
Mainland China,1/24/2020,0,0,0,,Jiangsu
Mainland China,1/24/2020,0,0,0,,Hainan
Mainland China,1/24/2020,0,0,0,,Tianjin
Mainland China,1/24/2020,0,0,0,,Yunnan
Mainland China,1/24/2020,0,0,0,,Shaanxi
Mainland China,1/24/2020,0,0,0,,Heilongjiang
Mainland China,1/24/2020,0,0,0,,Liaoning
Mainland China,1/24/2020,0,0,0,,Guizhou
Mainland China,1/24/2020,0,0,0,,Jilin
Taiwan,1/24/2020,0,0,0,,Taiwan
Mainland China,1/24/2020,0,0,0,,Ningxia
Hong Kong,1/24/2020,0,0,0,,Hong Kong
Macau,1/24/2020,0,0,0,,Macau
Mainland China,1/24/2020,0,0,0,,Hebei
Mainland China,1/24/2020,0,0,0,,Gansu
Mainland China,1/24/2020,0,0,0,,Xinjiang
Mainland China,1/24/2020,0,0,0,,Shanxi
Mainland China,1/24/2020,0,0,0,,Inner Mongolia
Mainland China,1/24/2020,0,0,0,,Qinghai
US,1/24/2020,0,0,0,,Washington
US,1/24/2020,0,0,0,,Chicago
Japan,1/24/2020,0,0,0,,
Thailand,1/24/2020,0,0,0,,
South Korea,1/24/2020,0,0,0,,
Singapore,1/24/2020,0,0,0,,
Vietnam,1/24/2020,0,0,0,,
France,1/24/2020,0,0,0,,
Mainland China,1/25/2020,0,0,0,,Hubei
Mainland China,1/25/2020,0,0,0,,Guangdong
Mainland China,1/25/2020,0,0,0,,Zhejiang
Mainland China,1/25/2020,0,0,0,,Chongqing
Mainland China,1/25/2020,0,0,0,,Hunan
Mainland China,1/25/2020,0,0,0,,Beijing
Mainland China,1/25/2020,0,0,0,,Anhui
Mainland China,1/25/2020,0,0,0,,Shanghai
Mainland China,1/25/2020,0,0,0,,Henan
Mainland China,1/25/2020,0,0,0,,Sichuan
Mainland China,1/25/2020,0,0,0,,Shandong
Mainland China,1/25/2020,0,0,0,,Guangxi
Mainland China,1/25/2020,0,0,0,,Hainan
Mainland China,1/25/2020,0,0,0,,Jiangxi
Mainland China,1/25/2020,0,0,0,,Fujian
Mainland China,1/25/2020,0,0,0,,Jiangsu
Mainland China,1/25/2020,0,0,0,,Liaoning
Mainland China,1/25/2020,0,0,0,,Shaanxi
Mainland China,1/25/2020,0,0,0,,Yunnan
Mainland China,1/25/2020,0,0,0,,Tianjin
Mainland China,1/25/2020,0,0,0,,Heilongjiang
Mainland China,1/25/2020,0,0,0,,Hebei
Mainland China,1/25/2020,0,0,0,,Inner Mongolia
Mainland China,1/25/2020,0,0,0,,Shanxi
Hong Kong,1/25/2020,0,0,0,,Hong Kong
Mainland China,1/25/2020,0,0,0,,Guizhou
Mainland China,1/25/2020,0,0,0,,Jilin
Mainland China,1/25/2020,0,0,0,,Gansu
Mainland China,1/25/2020,0,0,0,,Ningxia
Taiwan,1/25/2020,0,0,0,,Taiwan
Mainland China,1/25/2020,0,0,0,,Xinjiang
Macau,1/25/2020,0,0,0,,Macau
Mainland China,1/25/2020,0,0,0,,Qinghai
US,1/25/2020,0,0,0,,Washington
US,1/25/2020,0,0,0,,Illinois
Japan,1/25/2020,0,0,0,,
Thailand,1/25/2020,0,0,0,,
South Korea,1/25/2020,0,0,0,,
